name,fp,iCliff,ts_sali_avg
CHEMBL218_EC50_fp,RDKIT,0.03333352900972475,0.032873567872974574
CHEMBL218_EC50_fp,ECFP,0.024782541474421424,0.024838023864116193
CHEMBL218_EC50_fp,MACCS,0.037536475415774095,0.03816051564666327
CHEMBL264_Ki_fp,RDKIT,0.026385191750941134,0.02619593342918609
CHEMBL264_Ki_fp,ECFP,0.023523992848620973,0.023517735502275927
CHEMBL264_Ki_fp,MACCS,0.03764738596129339,0.03809749956323155
CHEMBL2971_Ki_fp,RDKIT,0.05822145855452067,0.04998660952201547
CHEMBL2971_Ki_fp,ECFP,0.04229223935688444,0.037601308144318335
CHEMBL2971_Ki_fp,MACCS,0.0663431059122365,0.05890520511589844
CHEMBL238_Ki_fp,RDKIT,0.03278220613714585,0.03266174853758373
CHEMBL238_Ki_fp,ECFP,0.027687713321295247,0.027663353165517664
CHEMBL238_Ki_fp,MACCS,0.03928833141360718,0.039662505748542166
CHEMBL228_Ki_fp,RDKIT,0.036766494217628676,0.036190374599588584
CHEMBL228_Ki_fp,ECFP,0.030398188884434654,0.030343179434986423
CHEMBL228_Ki_fp,MACCS,0.04588683123311517,0.04533685966501025
CHEMBL219_Ki_fp,RDKIT,0.030219250808358595,0.030262437890831172
CHEMBL219_Ki_fp,ECFP,0.026135080570944748,0.026105792830772127
CHEMBL219_Ki_fp,MACCS,0.04236268230874644,0.04288860149020493
CHEMBL214_Ki_fp,RDKIT,0.03537308819766434,0.035017820423696625
CHEMBL214_Ki_fp,ECFP,0.029035426331077724,0.028971055389713177
CHEMBL214_Ki_fp,MACCS,0.046563319914879074,0.046786388974754595
CHEMBL2047_EC50_fp,RDKIT,0.029969827178591497,0.030385696579317244
CHEMBL2047_EC50_fp,ECFP,0.023925489708904537,0.0241995627824152
CHEMBL2047_EC50_fp,MACCS,0.03295434073329785,0.03358163081692815
CHEMBL233_Ki_fp,RDKIT,0.04427498357274179,0.043506667659335176
CHEMBL233_Ki_fp,ECFP,0.03214707643389753,0.03197359223496953
CHEMBL233_Ki_fp,MACCS,0.05215011141803084,0.052490583572493615
CHEMBL4005_Ki_fp,RDKIT,0.043345166453234565,0.04262927696476651
CHEMBL4005_Ki_fp,ECFP,0.02960430821474078,0.029457002536911064
CHEMBL4005_Ki_fp,MACCS,0.046138794662563626,0.04653091777911339
CHEMBL2835_Ki_fp,RDKIT,0.051185013809954216,0.03612441441061554
CHEMBL2835_Ki_fp,ECFP,0.03566208242557714,0.02824447125777903
CHEMBL2835_Ki_fp,MACCS,0.05697444473242166,0.04428535412972402
CHEMBL287_Ki_fp,RDKIT,0.0313276629731459,0.031010234428408584
CHEMBL287_Ki_fp,ECFP,0.027959737612516633,0.027930159337675762
CHEMBL287_Ki_fp,MACCS,0.042581664866491294,0.04244139045217223
CHEMBL231_Ki_fp,RDKIT,0.04093860613502374,0.04035617104210607
CHEMBL231_Ki_fp,ECFP,0.034331563010503656,0.03410367671786304
CHEMBL231_Ki_fp,MACCS,0.053247847606983346,0.053433079660376956
CHEMBL2034_Ki_fp,RDKIT,0.05155246340631052,0.04910394678559496
CHEMBL2034_Ki_fp,ECFP,0.034221861701310016,0.03408956164269273
CHEMBL2034_Ki_fp,MACCS,0.04922501401135593,0.04889355096549635
CHEMBL237_EC50_fp,RDKIT,0.051631369273292704,0.05186662595281415
CHEMBL237_EC50_fp,ECFP,0.03607630844855161,0.03610954500786647
CHEMBL237_EC50_fp,MACCS,0.05626208723736831,0.05708151252259334
CHEMBL4616_EC50_fp,RDKIT,0.034505110286320875,0.03470025655875672
CHEMBL4616_EC50_fp,ECFP,0.026231688803001155,0.026701906601978888
CHEMBL4616_EC50_fp,MACCS,0.04381019586379317,0.04428653026580242
CHEMBL239_EC50_fp,RDKIT,0.03484117863866116,0.0346486350990081
CHEMBL239_EC50_fp,ECFP,0.029379738025466274,0.02955026662571298
CHEMBL239_EC50_fp,MACCS,0.042453723357074154,0.043027704292634514
CHEMBL4203_Ki_fp,RDKIT,0.03070520617138452,0.03040767691231381
CHEMBL4203_Ki_fp,ECFP,0.024920620470249632,0.024868859920993525
CHEMBL4203_Ki_fp,MACCS,0.03638559334973717,0.037053160062743375
CHEMBL262_Ki_fp,RDKIT,0.03207435505870429,0.031965497201561374
CHEMBL262_Ki_fp,ECFP,0.02541092330917697,0.025499246311787557
CHEMBL262_Ki_fp,MACCS,0.037124925554032774,0.0379495718309718
CHEMBL236_Ki_fp,RDKIT,0.05421798313460464,0.0530245324042026
CHEMBL236_Ki_fp,ECFP,0.0385106170256424,0.03821238241029034
CHEMBL236_Ki_fp,MACCS,0.06278460424474747,0.06331576320841945
CHEMBL244_Ki_fp,RDKIT,0.06182910725934987,0.06112157490256087
CHEMBL244_Ki_fp,ECFP,0.04704298633512433,0.046981413792827914
CHEMBL244_Ki_fp,MACCS,0.07146944750308193,0.07210913121321097
CHEMBL2147_Ki_fp,RDKIT,0.05207007831544256,0.04915090955398371
CHEMBL2147_Ki_fp,ECFP,0.03798943138233803,0.037105887325221694
CHEMBL2147_Ki_fp,MACCS,0.05861812776762987,0.056399799238436105
CHEMBL237_Ki_fp,RDKIT,0.04137693385042883,0.040707741494403864
CHEMBL237_Ki_fp,ECFP,0.029618925757776204,0.02940189990568177
CHEMBL237_Ki_fp,MACCS,0.04755050445876517,0.04799900281450105
CHEMBL235_EC50_fp,RDKIT,0.03442949123459102,0.03439608924509376
CHEMBL235_EC50_fp,ECFP,0.028013825029614584,0.028295482633598275
