name,fp,term,kt
CHEMBL237_EC50_fp,MACCS,2,0.9342655104882809
CHEMBL237_EC50_fp,MACCS,3,0.9514880395158529
CHEMBL2971_Ki_fp,RDKIT,1,0.9023536110914635
CHEMBL2971_Ki_fp,RDKIT,2,0.9228709448992127
CHEMBL2971_Ki_fp,RDKIT,3,0.9368439393628769
CHEMBL2971_Ki_fp,ECFP,1,0.9744447610018286
CHEMBL2971_Ki_fp,ECFP,2,0.9852034052698458
CHEMBL2971_Ki_fp,ECFP,3,0.9907244641282654
CHEMBL2971_Ki_fp,MACCS,1,0.9061237717636779
CHEMBL2971_Ki_fp,MACCS,2,0.9258883552997489
CHEMBL2971_Ki_fp,MACCS,3,0.9404310030214889
CHEMBL262_Ki_fp,RDKIT,1,0.9750845928604335
CHEMBL262_Ki_fp,RDKIT,2,0.9855449908222582
CHEMBL262_Ki_fp,RDKIT,3,0.9912248655877084
CHEMBL262_Ki_fp,ECFP,1,0.9922717124793379
CHEMBL262_Ki_fp,ECFP,2,0.9967794198029428
CHEMBL262_Ki_fp,ECFP,3,0.9983972159232105
CHEMBL262_Ki_fp,MACCS,1,0.9567613594902907
CHEMBL262_Ki_fp,MACCS,2,0.9713232100958551
CHEMBL262_Ki_fp,MACCS,3,0.9809595086203393
CHEMBL237_Ki_fp,RDKIT,1,0.918280662099032
CHEMBL237_Ki_fp,RDKIT,2,0.9421307201103106
CHEMBL237_Ki_fp,RDKIT,3,0.9576354459309894
CHEMBL237_Ki_fp,ECFP,1,0.9855876838050748
CHEMBL237_Ki_fp,ECFP,2,0.9936763771559173
CHEMBL237_Ki_fp,ECFP,3,0.9968370795887922
CHEMBL237_Ki_fp,MACCS,1,0.9257872693616579
CHEMBL237_Ki_fp,MACCS,2,0.9469304016835904
CHEMBL237_Ki_fp,MACCS,3,0.9618880235486434
CHEMBL231_Ki_fp,RDKIT,1,0.9729348260463963
CHEMBL231_Ki_fp,RDKIT,2,0.9850060026026757
CHEMBL231_Ki_fp,RDKIT,3,0.9909961388485209
CHEMBL231_Ki_fp,ECFP,1,0.9870758144885512
CHEMBL231_Ki_fp,ECFP,2,0.994487691099061
CHEMBL231_Ki_fp,ECFP,3,0.9972364142125717
CHEMBL231_Ki_fp,MACCS,1,0.9327160983303302
CHEMBL231_Ki_fp,MACCS,2,0.9529782078626763
CHEMBL231_Ki_fp,MACCS,3,0.9668031884005968
CHEMBL214_Ki_fp,RDKIT,1,0.9745389930353775
CHEMBL214_Ki_fp,RDKIT,2,0.986781797848761
CHEMBL214_Ki_fp,RDKIT,3,0.9929222442060436
CHEMBL214_Ki_fp,ECFP,1,0.9887448584244257
CHEMBL214_Ki_fp,ECFP,2,0.9958790249856281
CHEMBL214_Ki_fp,ECFP,3,0.998274238768556
CHEMBL214_Ki_fp,MACCS,1,0.926670358200135
CHEMBL214_Ki_fp,MACCS,2,0.9480340195834087
CHEMBL214_Ki_fp,MACCS,3,0.9631259465437003
CHEMBL2034_Ki_fp,RDKIT,1,0.9322807127241803
CHEMBL2034_Ki_fp,RDKIT,2,0.9514528185101159
CHEMBL2034_Ki_fp,RDKIT,3,0.9642440013529238
CHEMBL2034_Ki_fp,ECFP,1,0.9837679705583225
CHEMBL2034_Ki_fp,ECFP,2,0.9919370795285355
CHEMBL2034_Ki_fp,ECFP,3,0.9954124506046114
CHEMBL2034_Ki_fp,MACCS,1,0.9330517336900566
CHEMBL2034_Ki_fp,MACCS,2,0.9526114021067025
CHEMBL2034_Ki_fp,MACCS,3,0.9654002999403659
CHEMBL1862_Ki_fp,RDKIT,1,0.9527591417038411
CHEMBL1862_Ki_fp,RDKIT,2,0.9694370246219882
CHEMBL1862_Ki_fp,RDKIT,3,0.9796619974400612
CHEMBL1862_Ki_fp,ECFP,1,0.9728103537634563
CHEMBL1862_Ki_fp,ECFP,2,0.9859897501934055
CHEMBL1862_Ki_fp,ECFP,3,0.9923224157309302
CHEMBL1862_Ki_fp,MACCS,1,0.927342424366531
CHEMBL1862_Ki_fp,MACCS,2,0.9467418718925034
CHEMBL1862_Ki_fp,MACCS,3,0.9605555430103495
CHEMBL1871_Ki_fp,RDKIT,1,0.9438200175312208
CHEMBL1871_Ki_fp,RDKIT,2,0.9625390568359643
CHEMBL1871_Ki_fp,RDKIT,3,0.9740691101916297
CHEMBL1871_Ki_fp,ECFP,1,0.9835263662313103
CHEMBL1871_Ki_fp,ECFP,2,0.9923597586332222
CHEMBL1871_Ki_fp,ECFP,3,0.9958204773041911
CHEMBL1871_Ki_fp,MACCS,1,0.9325553317436589
CHEMBL1871_Ki_fp,MACCS,2,0.9543001519488821
CHEMBL1871_Ki_fp,MACCS,3,0.9681928087462646
CHEMBL4792_Ki_fp,RDKIT,1,0.9531401150759278
CHEMBL4792_Ki_fp,RDKIT,2,0.9688236109842228
CHEMBL4792_Ki_fp,RDKIT,3,0.979286330763643
CHEMBL4792_Ki_fp,ECFP,1,0.977677149273507
CHEMBL4792_Ki_fp,ECFP,2,0.9898505204534048
CHEMBL4792_Ki_fp,ECFP,3,0.9950600186702906
CHEMBL4792_Ki_fp,MACCS,1,0.8995740860515604
CHEMBL4792_Ki_fp,MACCS,2,0.9214737143311003
CHEMBL4792_Ki_fp,MACCS,3,0.938415344461388
CHEMBL236_Ki_fp,RDKIT,1,0.9235336819313573
CHEMBL236_Ki_fp,RDKIT,2,0.945915734608639
CHEMBL236_Ki_fp,RDKIT,3,0.960666545345545
CHEMBL236_Ki_fp,ECFP,1,0.9861130379740739
CHEMBL236_Ki_fp,ECFP,2,0.994099405431586
CHEMBL236_Ki_fp,ECFP,3,0.997150672042882
CHEMBL236_Ki_fp,MACCS,1,0.9306036249046997
CHEMBL236_Ki_fp,MACCS,2,0.9499529336469511
