position_diff,jaccard
474,0.0
757,0.0
923,0.0
383,0.0
2093,0.0
692,0.0
1657,0.0
1387,0.0
729,0.0
1104,0.0
3394,0.0
534,0.0
523,0.0
1088,0.0
692,0.0
710,0.0
357,0.0
696,0.0
3499,0.0
2537,0.0
2551,0.0
1869,0.0
927,0.0
540,0.0
532,0.0
1303,0.0
478,0.0
707,0.0
489,0.0
3510,0.0
1369,0.0
1178,0.0
1298,0.0
3185,0.0
213,0.0
2701,0.0
2403,0.0
2279,0.0
3336,0.0
1848,0.0
2739,0.0
2132,0.0
1234,0.0
270,0.0
2723,0.0
1704,0.0
2876,0.0
471,0.0
1928,0.0
2062,0.0
3234,0.0
1008,0.0
2641,0.0
2990,0.0
3130,0.0
868,0.0
1070,0.0
1099,0.0
1588,0.0
843,0.0
929,0.0
710,0.0
542,0.0
648,0.0
354,0.0
3437,0.0
1161,0.0
1938,0.0
1221,0.0
746,0.0
1103,0.0
710,0.0
2465,0.0
806,0.0
1006,0.0
402,0.0
708,0.0
913,0.0
1852,0.0
2952,0.0
2674,0.0
2224,0.0
674,0.0
589,0.0
3425,0.0
2089,0.0
3185,0.0
1483,0.0
26,0.0
1685,0.0
472,0.0
111,0.0
3004,0.0
1341,0.0
77,0.0
395,0.0
9,0.0
80,0.005128205128205128
897,0.005076142131979695
62,0.010101010101010102
2329,0.01
3062,0.009900990099009901
2160,0.00980392156862745
3165,0.009708737864077669
2900,0.009615384615384616
2089,0.014354066985645933
3145,0.014218009478672985
2000,0.014084507042253521
450,0.013953488372093023
3173,0.013824884792626729
570,0.0136986301369863
2293,0.013574660633484163
3025,0.013452914798206279
1824,0.013333333333333334
2419,0.017699115044247787
2980,0.017543859649122806
1026,0.017391304347826087
557,0.017241379310344827
185,0.017094017094017096
1550,0.01694915254237288
1021,0.01680672268907563
649,0.016666666666666666
1317,0.01652892561983471
182,0.01639344262295082
52,0.016260162601626018
463,0.016129032258064516
854,0.016
1939,0.015873015873015872
1440,0.015748031496062992
2827,0.015625
1204,0.015503875968992248
1346,0.015384615384615385
99,0.019157088122605363
157,0.019011406844106463
174,0.018867924528301886
1398,0.018726591760299626
164,0.01858736059479554
10,0.022222222222222223
23,0.022058823529411766
158,0.021897810218978103
1624,0.021739130434782608
2159,0.02158273381294964
698,0.02142857142857143
1383,0.02127659574468085
683,0.02112676056338028
3054,0.02097902097902098
3331,0.020833333333333332
2880,0.020689655172413793
1768,0.02054794520547945
1626,0.02040816326530612
10,0.023728813559322035
525,0.02356902356902357
504,0.023411371237458192
21,0.023255813953488372
470,0.0231023102310231
2280,0.022950819672131147
2193,0.02280130293159609
415,0.022653721682847898
3333,0.022508038585209004
1027,0.022364217252396165
2896,0.022222222222222223
2304,0.02531645569620253
1878,0.025157232704402517
818,0.025
3423,0.024844720496894408
1589,0.024691358024691357
1022,0.024539877300613498
935,0.024390243902439025
2607,0.024242424242424242
695,0.024096385542168676
2159,0.023952095808383235
1109,0.026865671641791045
1181,0.026706231454005934
854,0.02654867256637168
1624,0.029411764705882353
2931,0.029239766081871343
3155,0.03206997084548105
2464,0.03188405797101449
3261,0.03170028818443804
2239,0.03151862464183381
1808,0.03133903133903134
3027,0.031161473087818695
3013,0.030985915492957747
2990,0.03081232492997199
991,0.03064066852367688
891,0.030470914127423823
2671,0.030303030303030304
3100,0.030136986301369864
2366,0.02997275204359673
2988,0.02981029810298103
3208,0.029649595687331536
3120,0.029490616621983913
1539,0.029333333333333333
1238,0.029177718832891247
2417,0.029023746701846966
2527,0.028871391076115485
2756,0.028720626631853787
1195,0.02857142857142857
3196,0.028423772609819122
408,0.028277634961439587
2640,0.028132992327365727
1813,0.027989821882951654
1246,0.030456852791878174
161,0.03291139240506329
2862,0.0327455919395466
1880,0.03258145363408521
891,0.032418952618453865
3338,0.03225806451612903
2385,0.03209876543209877
1362,0.03194103194103194
3283,0.03178484107579462
3313,0.031630170316301706
2503,0.031476997578692496
1928,0.03132530120481928
976,0.03117505995203837
217,0.031026252983293555
1101,0.030878859857482184
111,0.030732860520094562
2803,0.03058823529411765
2885,0.03044496487119438
2653,0.030303030303030304
97,0.030162412993039442
1973,0.03002309468822171
1587,0.029885057471264367
2470,0.029748283752860413
1060,0.029612756264236904
1030,0.02947845804988662
2813,0.029345372460496615
3222,0.029213483146067417
1081,0.029082774049217
1621,0.028953229398663696
2565,0.028824833702882482
2149,0.02869757174392936
2132,0.02857142857142857
850,0.028446389496717725
1531,0.02832244008714597
1367,0.028199566160520606
238,0.028077753779697623
2590,0.02795698924731183
636,0.027837259100642397
1938,0.02771855010660981
1482,0.027600849256900213
918,0.02748414376321353
1280,0.02736842105263158
1919,0.027253668763102725
1543,0.027139874739039668
350,0.02702702702702703
1482,0.029045643153526972
1211,0.028925619834710745
1055,0.02880658436213992
326,0.028688524590163935
555,0.02857142857142857
1093,0.028455284552845527
815,0.02834008097165992
1672,0.028225806451612902
1569,0.028112449799196786
3019,0.028
2255,0.027888446215139442
736,0.027777777777777776
2269,0.02766798418972332
839,0.027559055118110236
1771,0.027450980392156862
1771,0.02734375
156,0.027237354085603113
1901,0.027131782945736434
1648,0.02702702702702703
403,0.026923076923076925
2909,0.02681992337164751
666,0.026717557251908396
3256,0.026615969581749048
3102,0.026515151515151516
3241,0.026415094339622643
1681,0.02631578947368421
2365,0.026217228464419477
1367,0.026119402985074626
3248,0.026022304832713755
2004,0.025925925925925925
44,0.025830258302583026
1578,0.025735294117647058
1100,0.02564102564102564
125,0.027422303473491772
2177,0.0273224043715847
3164,0.02722323049001815
3025,0.027124773960216998
3109,0.02702702702702703
2324,0.026929982046678635
2290,0.026833631484794274
2395,0.026737967914438502
3255,0.02664298401420959
1264,0.02654867256637168
679,0.028268551236749116
242,0.029982363315696647
260,0.03169014084507042
246,0.033391915641476276
2435,0.03327495621716287
1736,0.03315881326352531
1892,0.03304347826086956
2318,0.034722222222222224
70,0.03460207612456748
2139,0.034482758620689655
473,0.03614457831325301
1170,0.036020583190394515
3216,0.035897435897435895
70,0.039316239316239315
181,0.040955631399317405
3248,0.04258943781942078
2193,0.042444821731748725
613,0.04230118443316413
718,0.04391891891891892
763,0.04377104377104377
1169,0.0436241610738255
189,0.043478260869565216
519,0.043333333333333335
793,0.04492512479201331
496,0.04477611940298507
2047,0.04462809917355372
1629,0.044481054365733116
217,0.04433497536945813
2327,0.04590163934426229
2091,0.0457516339869281
1487,0.04560260586319218
2277,0.04715447154471545
2418,0.04700162074554295
1736,0.046849757673667204
2253,0.04669887278582931
2535,0.04654895666131621
2810,0.0464
2708,0.046251993620414676
2621,0.04777070063694268
114,0.047619047619047616
2496,0.04746835443037975
45,0.0473186119873817
214,0.048818897637795275
2325,0.04866562009419152
2130,0.048513302034428794
2408,0.0483619344773791
1216,0.04821150855365474
2341,0.04806201550387597
2688,0.04791344667697063
1661,0.04776579352850539
221,0.047619047619047616
130,0.04747320061255743
949,0.04732824427480916
1550,0.0471841704718417
1250,0.04704097116843703
1751,0.046898638426626324
2071,0.04675716440422323
2641,0.04661654135338346
2244,0.046476761619190406
988,0.04633781763826607
1677,0.046199701937406856
829,0.04606240713224369
109,0.04747774480712166
43,0.047337278106508875
324,0.0471976401179941
793,0.047058823529411764
980,0.0469208211143695
699,0.04678362573099415
548,0.04664723032069971
714,0.046511627906976744
192,0.0463768115942029
1010,0.046242774566473986
1154,0.04610951008645533
170,0.04597701149425287
339,0.045845272206303724
1116,0.045714285714285714
1100,0.045584045584045586
159,0.045454545454545456
522,0.04680851063829787
689,0.04667609618104668
1464,0.0465444287729196
2275,0.046413502109704644
2605,0.04628330995792426
2480,0.047619047619047616
211,0.04748603351955307
2890,0.04735376044568245
1382,0.048678720445062586
2986,0.04854368932038835
1845,0.048409405255878286
3247,0.04827586206896552
3185,0.048143053645116916
2937,0.04801097393689986
427,0.047879616963064295
1382,0.047748976807639835
1595,0.047619047619047616
868,0.04748982360922659
232,0.04878048780487805
1890,0.04864864864864865
1125,0.04851752021563342
3260,0.04838709677419355
1399,0.04825737265415549
3161,0.0481283422459893
2789,0.048
1331,0.047872340425531915
1124,0.04774535809018567
2365,0.047619047619047616
