name,fp,iCliff,ts_sali_avg
CHEMBL1871_Ki,RDKIT,0.03656913498919167,0.02931251270781429
CHEMBL1871_Ki,ECFP4,0.026402838718596902,0.02437753950949643
CHEMBL1871_Ki,MACCS,0.037951289587605776,0.030110571786109163
CHEMBL244_Ki,RDKIT,0.06182910725934995,0.05010135758394948
CHEMBL244_Ki,ECFP4,0.0470429863351244,0.0430312770290831
CHEMBL244_Ki,MACCS,0.07146944750308203,0.05559513573927443
CHEMBL4005_Ki,RDKIT,0.04334516645323472,0.03342453877485594
CHEMBL4005_Ki,ECFP4,0.02960430821474088,0.0268384015609282
CHEMBL4005_Ki,MACCS,0.046138794662563785,0.03537535918202937
CHEMBL214_Ki,RDKIT,0.03537308819766459,0.02949537691707435
CHEMBL214_Ki,ECFP4,0.02903542633107793,0.026471994400082518
CHEMBL214_Ki,MACCS,0.04656331991487939,0.0353796611926033
CHEMBL233_Ki,RDKIT,0.04427498357274179,0.035122552538791325
CHEMBL233_Ki,ECFP4,0.03214709628047203,0.029356016397945744
CHEMBL233_Ki,MACCS,0.05215011141803084,0.039614510495370535
CHEMBL264_Ki,RDKIT,0.026385191750941284,0.022788720634463782
CHEMBL264_Ki,ECFP4,0.023523992848621108,0.021449621671008678
CHEMBL264_Ki,MACCS,0.037647385961293606,0.028739503701486473
CHEMBL234_Ki,RDKIT,0.036685283951384776,0.0307004270840966
CHEMBL234_Ki,ECFP4,0.030723127513714213,0.027838591103370048
CHEMBL234_Ki,MACCS,0.049453476386054074,0.037432446656303374
CHEMBL204_Ki,RDKIT,0.03213136526116119,0.026425780013430183
CHEMBL204_Ki,ECFP4,0.025374551278559584,0.023183962816695314
CHEMBL204_Ki,MACCS,0.038596460761241035,0.030021755766867768
CHEMBL2147_Ki,RDKIT,0.05207007831544279,0.04043834539477455
CHEMBL2147_Ki,ECFP4,0.0379894313823382,0.03441583428039359
CHEMBL2147_Ki,MACCS,0.058618127767630125,0.044062790237000785
CHEMBL237_EC50,RDKIT,0.051631369273292704,0.04057385789637962
CHEMBL237_EC50,ECFP4,0.03607630844855161,0.03269531742390577
CHEMBL237_EC50,MACCS,0.05626208723736831,0.043181301181269206
CHEMBL219_Ki,RDKIT,0.030219250808358515,0.025701028979343954
CHEMBL219_Ki,ECFP4,0.02613508057094468,0.02362270644931446
CHEMBL219_Ki,MACCS,0.042362682308746326,0.03201411077903084
CHEMBL2835_Ki,RDKIT,0.051185013809953966,0.029354823777925174
CHEMBL2835_Ki,ECFP4,0.03566208242557697,0.025414852201506914
CHEMBL2835_Ki,MACCS,0.05697444473242137,0.033435293637479414
CHEMBL237_Ki,RDKIT,0.04137693385042883,0.03256136457178477
CHEMBL237_Ki,ECFP4,0.029618951910642132,0.026908449888856076
CHEMBL237_Ki,MACCS,0.04755050445876517,0.03620699523183329
CHEMBL2971_Ki,RDKIT,0.05822145855452057,0.04104179337919626
CHEMBL2971_Ki,ECFP4,0.042292239356884365,0.03484914269034769
CHEMBL2971_Ki,MACCS,0.06634310591223637,0.045501091176137716
CHEMBL4616_EC50,RDKIT,0.034505110286320695,0.02805680703488101
CHEMBL4616_EC50,ECFP4,0.02623168880300102,0.0240576320564921
CHEMBL4616_EC50,MACCS,0.04381019586379294,0.032849943888403864
CHEMBL218_EC50,RDKIT,0.03333352900972466,0.02689459626440527
CHEMBL218_EC50,ECFP4,0.024782541474421358,0.022876824259976065
CHEMBL218_EC50,MACCS,0.037536475415774,0.029538070151249634
CHEMBL2034_Ki,RDKIT,0.05155246340631042,0.03912624156794736
