name,fp,term,kt
CHEMBL219_Ki,MACCS,1,0.920333168697673
CHEMBL219_Ki,MACCS,2,0.9534859802802451
CHEMBL219_Ki,MACCS,3,0.9708113095834373
CHEMBL2835_Ki,RDKIT,1,0.858794693944428
CHEMBL2835_Ki,RDKIT,2,0.8886296242606826
CHEMBL2835_Ki,RDKIT,3,0.9077811602530151
CHEMBL2835_Ki,ECFP4,1,0.954879920025677
CHEMBL2835_Ki,ECFP4,2,0.9727763752107523
CHEMBL2835_Ki,ECFP4,3,0.9824027891872477
CHEMBL2835_Ki,MACCS,1,0.8706613584644979
CHEMBL2835_Ki,MACCS,2,0.9014044642919609
CHEMBL2835_Ki,MACCS,3,0.9208303026724928
CHEMBL237_Ki,RDKIT,1,0.9389398272537152
CHEMBL237_Ki,RDKIT,2,0.9641339882055868
CHEMBL237_Ki,RDKIT,3,0.9763362946417945
CHEMBL237_Ki,ECFP4,1,0.9893235103959847
CHEMBL237_Ki,ECFP4,2,0.9962633753681607
CHEMBL237_Ki,ECFP4,3,0.9983054435046188
CHEMBL237_Ki,MACCS,1,0.9237699935646078
CHEMBL237_Ki,MACCS,2,0.9559980870034404
CHEMBL237_Ki,MACCS,3,0.9726171936787382
CHEMBL2971_Ki,RDKIT,1,0.9265221032303996
CHEMBL2971_Ki,RDKIT,2,0.949102254230158
CHEMBL2971_Ki,RDKIT,3,0.9608228230943272
CHEMBL2971_Ki,ECFP4,1,0.9823107047897542
CHEMBL2971_Ki,ECFP4,2,0.9908829295263349
CHEMBL2971_Ki,ECFP4,3,0.9945230865390873
CHEMBL2971_Ki,MACCS,1,0.9168508303494551
CHEMBL2971_Ki,MACCS,2,0.9446124640430503
CHEMBL2971_Ki,MACCS,3,0.9595554956691805
CHEMBL4616_EC50,RDKIT,1,0.9555295313193506
CHEMBL4616_EC50,RDKIT,2,0.9768465434721789
CHEMBL4616_EC50,RDKIT,3,0.9863863231610259
CHEMBL4616_EC50,ECFP4,1,0.9832464801085419
CHEMBL4616_EC50,ECFP4,2,0.9924249881993942
CHEMBL4616_EC50,ECFP4,3,0.995875048765257
CHEMBL4616_EC50,MACCS,1,0.8969826391006616
CHEMBL4616_EC50,MACCS,2,0.9319638509236051
CHEMBL4616_EC50,MACCS,3,0.9511875204876418
CHEMBL218_EC50,RDKIT,1,0.9605777949478502
CHEMBL218_EC50,RDKIT,2,0.9808942454838276
CHEMBL218_EC50,RDKIT,3,0.9894833749258358
CHEMBL218_EC50,ECFP4,1,0.9912343793419712
CHEMBL218_EC50,ECFP4,2,0.996936865576383
CHEMBL218_EC50,ECFP4,3,0.9985287951939609
CHEMBL218_EC50,MACCS,1,0.9398505755319958
CHEMBL218_EC50,MACCS,2,0.9675128221720473
CHEMBL218_EC50,MACCS,3,0.9808912886439596
CHEMBL2034_Ki,RDKIT,1,0.9434148546451416
CHEMBL2034_Ki,RDKIT,2,0.9668503895241871
CHEMBL2034_Ki,RDKIT,3,0.9784363797834608
CHEMBL2034_Ki,ECFP4,1,0.9899862207838465
CHEMBL2034_Ki,ECFP4,2,0.99565478865978
CHEMBL2034_Ki,ECFP4,3,0.997625527368537
CHEMBL2034_Ki,MACCS,1,0.9465019132854016
CHEMBL2034_Ki,MACCS,2,0.9687817253015832
CHEMBL2034_Ki,MACCS,3,0.9796528468075791
CHEMBL287_Ki,RDKIT,1,0.9814307240214464
CHEMBL287_Ki,RDKIT,2,0.9925394231957225
CHEMBL287_Ki,RDKIT,3,0.9962757279907211
CHEMBL287_Ki,ECFP4,1,0.9908963090887886
CHEMBL287_Ki,ECFP4,2,0.9969912458191412
CHEMBL287_Ki,ECFP4,3,0.9986612904723281
CHEMBL287_Ki,MACCS,1,0.9384330950699092
CHEMBL287_Ki,MACCS,2,0.9661816222749492
CHEMBL287_Ki,MACCS,3,0.9798295816435797
CHEMBL236_Ki,RDKIT,1,0.9402561257535591
CHEMBL236_Ki,RDKIT,2,0.9655029192668759
CHEMBL236_Ki,RDKIT,3,0.9776711123445677
CHEMBL236_Ki,ECFP4,1,0.9895061927213393
CHEMBL236_Ki,ECFP4,2,0.9964594150659465
CHEMBL236_Ki,ECFP4,3,0.9984607290345082
CHEMBL236_Ki,MACCS,1,0.9236059057082762
CHEMBL236_Ki,MACCS,2,0.9559929589321707
CHEMBL236_Ki,MACCS,3,0.9727378761906547
CHEMBL4203_Ki,RDKIT,1,0.9801626417386253
CHEMBL4203_Ki,RDKIT,2,0.992296543867352
CHEMBL4203_Ki,RDKIT,3,0.9966067456462571
CHEMBL4203_Ki,ECFP4,1,0.9957506886931131
CHEMBL4203_Ki,ECFP4,2,0.998802879669234
CHEMBL4203_Ki,ECFP4,3,0.9995318074769332
CHEMBL4203_Ki,MACCS,1,0.9559225471918847
CHEMBL4203_Ki,MACCS,2,0.9780438849162415
CHEMBL4203_Ki,MACCS,3,0.9881805293864573
CHEMBL262_Ki,RDKIT,1,0.974115042306491
CHEMBL262_Ki,RDKIT,2,0.9888812487043052
CHEMBL262_Ki,RDKIT,3,0.9944190698617448
CHEMBL262_Ki,ECFP4,1,0.9938020136851023
CHEMBL262_Ki,ECFP4,2,0.9980624489843544
CHEMBL262_Ki,ECFP4,3,0.9991399776224169
CHEMBL262_Ki,MACCS,1,0.9525687980683302
CHEMBL262_Ki,MACCS,2,0.9759306192547231
CHEMBL262_Ki,MACCS,3,0.9865966954895151
CHEMBL235_EC50,RDKIT,1,0.9700671255303966
CHEMBL235_EC50,RDKIT,2,0.9868751484307872
CHEMBL235_EC50,RDKIT,3,0.9934414191794166
CHEMBL235_EC50,ECFP4,1,0.989679800902838
CHEMBL235_EC50,ECFP4,2,0.9966935760807791
CHEMBL235_EC50,ECFP4,3,0.9986339622067208
CHEMBL235_EC50,MACCS,1,0.942180705035114
CHEMBL235_EC50,MACCS,2,0.9687731480493175
CHEMBL235_EC50,MACCS,3,0.9816082952973202
CHEMBL3979_EC50,RDKIT,1,0.9693751249973986
CHEMBL3979_EC50,RDKIT,2,0.9864371946734992
CHEMBL3979_EC50,RDKIT,3,0.9930272471971155
CHEMBL3979_EC50,ECFP4,1,0.9849802830383652
CHEMBL3979_EC50,ECFP4,2,0.9944121989499133
CHEMBL3979_EC50,ECFP4,3,0.9974159995192282
CHEMBL3979_EC50,MACCS,1,0.9322670656777499
CHEMBL3979_EC50,MACCS,2,0.9617882658073319
CHEMBL3979_EC50,MACCS,3,0.9764690020529089
CHEMBL238_Ki,RDKIT,1,0.9777535132730297
CHEMBL238_Ki,RDKIT,2,0.9905374219483924
CHEMBL238_Ki,RDKIT,3,0.9950590671283389
CHEMBL238_Ki,ECFP4,1,0.9930469306333618
CHEMBL238_Ki,ECFP4,2,0.997851953135309
CHEMBL238_Ki,ECFP4,3,0.9990658750756467
CHEMBL238_Ki,MACCS,1,0.952456261654576
